name,phone_number,email,address,credit_card,security_code,date
Денисов Эраст Харитонович,+7 (362) 868-30-78,rjurik45@oao.info,"д. Соловки, наб. Садовая, д. 1 стр. 5, 042438",4905833260703139,510,2000-01-12
Анжелика Александровна Устинова,+7 393 197 12 58,ignatevplaton@beljaeva.org,"с. Плесецк, наб. Льва Толстого, д. 5 к. 9, 376982",373162067657061,998,1971-09-05
Савин Ростислав Гурьевич,+7 (540) 892-63-54,pankrat1984@oao.net,"п. Токсово, ул. Серафимовича, д. 7/9, 598085",2705238075699439,267,2008-10-26
Афиноген Арсеньевич Лыткин,+79546655802,lukinonufri@kontsern.org,"г. Советский, пер. Выгонный, д. 9/1 к. 53, 584654",2201044605594218,918,1997-05-06
Лавр Геннадиевич Шашков,+70131872460,krjukovfeoktist@beljakov.info,"с. Серов, ул. Димитрова, д. 77 стр. 177, 597162",2203382385517001,351,1984-08-26
Пахомов Вышеслав Авдеевич,81171667875,fseliverstov@yahoo.com,"к. Шелагонцы, пер. Мичурина, д. 1/4 стр. 2, 687438",2200478544097969,035,1987-04-15
Белякова Синклитикия Григорьевна,+7 323 019 97 12,denisovapraskovja@mail.ru,"с. Тула, пер. Угловой, д. 318, 221409",4405565329002179,3322,1994-12-22
Василиса Георгиевна Емельянова,8 (433) 916-99-48,budimir_39@konovalov.ru,"г. Ведено, пер. Маркса, д. 5/4 к. 218, 347269",2202605841144643,055,2001-09-19
Юдина Надежда Аркадьевна,+7 413 804 29 82,juvenali31@yahoo.com,"клх Омск, алл. Парковая, д. 8/5 стр. 407, 250008",4089056481928172,022,2012-04-18
Родионов Селиверст Валерианович,+7 (435) 110-27-71,obaranov@ip.org,"д. Новомичуринск, бул. Инженерный, д. 829 к. 9, 965181",2202932976688560,715,1985-12-19
Владимир Харламович Федосеев,8 733 319 96 99,evgenigrishin@ao.biz,"к. Королев, ул. 50 лет Октября, д. 694 стр. 460, 759278",2200829015906445,800,1978-03-21
Данила Антипович Гущин,+7 (326) 376-56-73,nestor_1998@mail.ru,"к. Череповец, пер. К.Маркса, д. 49 стр. 128, 221876",8131533002888456,852,1988-06-01
